UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,count,percentile_10,percentile_90
090102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,-0.32066524028778076,-1.2479159832000732,1.560336947441101,0.8030372160899617,24,-1.0196166038513184,1.0822389125823975
210702,PUNO,LAMPA,CABANILLA,-0.28392000993092853,-2.8904240131378174,1.6464663743972778,1.518469679260992,12,-2.4840941429138184,1.162375569343567
210501,PUNO,EL COLLAO,ILAVE,-0.26433304377964567,-4.036411762237549,1.939273476600647,1.562221243342165,28,-2.4299468994140625,1.608193039894104
210407,PUNO,CHUCUITO,ZEPITA,-0.26097618906121506,-1.0274076461791992,0.8407060503959656,0.4364073327588547,19,-0.8344781994819641,0.1328621208667755
040414,AREQUIPA,CASTILLA,VIRACO,-0.2028719425201416,-3.9479072093963623,3.9835779666900635,2.7454154453453814,5,-3.2964158058166504,2.786381721496582
120805,JUNIN,YAULI,MOROCOCHA,-0.171266065703498,-0.9398665428161621,0.6550464630126953,0.515037036379589,9,-0.8741328120231628,0.45817306637763977
151028,LIMA,YAUYOS,TANTA,-0.1280218796296553,-1.1114948987960815,0.7867507338523865,0.5622619047928348,11,-0.9377570152282715,0.4140137732028961
090405,HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,-0.09374719316309149,-1.1279810667037964,1.1481482982635498,0.7255611545782195,11,-0.8783316612243652,0.9126463532447815
120804,JUNIN,YAULI,MARCAPOMACOCHA,-0.08444330610077956,-1.1395283937454224,1.4166070222854614,0.6120908596891061,29,-0.6453467607498169,0.848773181438446
210402,PUNO,CHUCUITO,DESAGUADERO,-0.07416864037513733,-1.4999579191207886,0.7054257392883301,0.7838075567014436,5,-0.9674369692802429,0.6504980325698853
210310,PUNO,CARABAYA,USICAYOS,-0.06528549608976944,-3.137847900390625,4.304733753204346,1.9338975624016654,23,-2.601888656616211,2.122494697570801
080803,CUSCO,ESPINAR,COPORAQUE,-0.05126144235784357,-2.0516695976257324,1.6796642541885376,0.6781879365982847,55,-0.960774302482605,0.6950480937957764
